RuleId,RootId,PrevId,SysID,RuleCode,StockExchangeId,DisclosureLevelId,RepEntityId,EntityId,RuleBasisId,RuleTypeId,RuleCategoryId,RuleNumeratorTypeId,TriggerRate,TriggerMin,TriggerMax,MinLong,MinCap,RateNumerator,RateDenominator,IndustryGroupId,SpecialConditionId,TransactionalReportFlag,Remark,RuleStateId,ApprovedDate,LastRejectedDT,LastRejectedBy,ReviewComment,EffectiveDate,Active,CreatedDT,CreatedBy,ModifiedDT,ModifiedBy,CountryCode,UploadRuleFileId
,,,FR005,FRSSD005,,1,1,,1,22,1,1,0.2500,0.2000,0.3000,,,25,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR006,FRSSD006,,1,1,,1,22,1,1,0.3000,0.2500,0.3333,,,30,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR007,FRSSD007,,1,1,,1,22,1,1,0.3333,0.3000,0.5000,,,1,3,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR008,FRSSD008,,1,1,,1,22,1,1,0.5000,0.3333,0.6666,,,50,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR009,FRSSD009,,1,1,,1,22,1,1,0.6666,0.5000,0.9000,,,2,3,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0010,FRSSD010,,1,1,,1,22,1,1,0.9000,0.6666,0.9500,,,90,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0011,FRSSD011,,1,1,,1,22,1,1,0.9500,0.9000,1.0000,,,95,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0012,FRSSD012,,1,1,,1,51,1,1,0.0500,0.0000,0.0500,,,5,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0013,FRSSD013,,1,1,,9,1,1,1,0.0500,0.0500,1.0000,,,5,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0014,FRSSD014,,1,1,,9,22,1,1,0.1000,0.0500,0.1500,,,10,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0015,FRSSD015,,1,1,,9,22,1,1,0.1500,0.1000,0.2000,,,15,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0016,FRSSD016,,1,1,,9,22,1,1,0.2000,0.1500,0.2500,,,20,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0017,FRSSD017,,1,1,,9,22,1,1,0.2500,0.2000,0.3000,,,25,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0018,FRSSD018,,1,1,,9,22,1,1,0.3000,0.2500,0.3333,,,30,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0019,FRSSD019,,1,1,,9,22,1,1,0.3333,0.3000,0.5000,,,1,3,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
,,,FR0020,FRSSD020,,1,1,,9,22,1,1,0.5000,0.3333,0.6666,,,50,100,0,0,1,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,FR,
